0,4,25
1,4,25
2,4,25
3,2,3487654320987668
4,2,3487654320987668
5,2,300944977899711
6,0,36187319006249147
7,0,36187319006249147
8,0,36187319006249147
9,0,36187319006249147
10,0,358024691358023
11,0,22324533150852466
12,0,07356124174940176
13,0,07356124174940176
14,0,07356124174940176
15,0,07356124174940176
16,0,05788587489261559
17,0,028157683668343213
18,0,028157683668343213
19,0,013486437156571671
20,0,013486437156571671
21,0,00937975315822846
22,0,0020291436785415287
23,0,0020291436785415287
24,0,0020291436785415287
25,0,0020291436785415287
26,0,001378392894211342
27,0,0012950833611905196
28,0,0007878255924728938
29,0,0007597099319641201
30,0,00023075159783246071
31,0,0002019640882583094
32,0,0002019640882583094
33,0,0002019640882583094
34,9,916251506379272E-05
35,9,220400279706469E-05
36,3,728503872060074E-05
37,3,728503872060074E-05
38,3,728503872060074E-05
39,3,728503872060074E-05
40,2,502422508194842E-06
41,2,502422508194842E-06
42,2,502422508194842E-06
43,2,502422508194842E-06
44,2,502422508194842E-06
45,2,502422508194842E-06
46,2,502422508194842E-06
47,2,502422508194842E-06
48,2,502422508194842E-06
49,2,0109962828926213E-06
50,1,3221855139440084E-06
51,5,772138545682778E-07
52,1,4207430386206285E-07
53,1,4207430386206285E-07
54,1,4207430386206285E-07
